ItemName;ItemCode;Empresa;CreateDate;UpdateDate;u_coleccion;u_estilo;u_genero;u_descripcion;u_descrip_color;u_division;u_sellitem;BarCode;bot_type
51191/ARIZONA NL/41/BLACK;140001304051868;SBO_00_DISRESALV;10/02/2025 0:00;25/03/2025 0:00;Seasonal;51191;UNISEX;ARIZONA NL;BLACK;CLASSIC;1;736399000000.0;BIRKEN
51191/ARIZONA NL/42/BLACK;140001304051968;SBO_00_DISRESALV;10/02/2025 0:00;25/03/2025 0:00;Seasonal;51191;UNISEX;ARIZONA NL;BLACK;CLASSIC;1;736399000000.0;BIRKEN
51191/ARIZONA NL/43/BLACK;140001304052068;SBO_00_DISRESALV;10/02/2025 0:00;05/05/2025 0:00;Seasonal;51191;UNISEX;ARIZONA NL;BLACK;CLASSIC;1;736399000000.0;BIRKEN
51191/ARIZONA NL/44/BLACK;140001304052168;SBO_00_DISRESALV;10/02/2025 0:00;05/05/2025 0:00;Seasonal;51191;UNISEX;ARIZONA NL;BLACK;CLASSIC;1;736399000000.0;BIRKEN
51191/ARIZONA NL/45/BLACK;140001304052268;SBO_00_DISRESALV;10/02/2025 0:00;05/05/2025 0:00;Seasonal;51191;UNISEX;ARIZONA NL;BLACK;CLASSIC;1;736399000000.0;BIRKEN
1002314/BOSTON EVA/41/BLACK;140001344051868;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Seasonal;1002314;UNISEX;BOSTON EVA;BLACK;ACTIVE;1;886925000000.0;BIRKEN
1002314/BOSTON EVA/42/BLACK;140001344051968;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Seasonal;1002314;UNISEX;BOSTON EVA;BLACK;ACTIVE;1;886925000000.0;BIRKEN
1017374/ARIZONA KIDS BF DESERT SOIL /26/CAMO KHAKI;140000624120368;SBO_00_DISRESALV;16/05/2024 0:00;03/12/2024 0:00;;1017374;UNISEX;ARIZONA KIDS BF DESERT SOIL;CAMO KHAKI;CLASSIC;1;822698000000.0;BIRKEN
1017374/ARIZONA KIDS BF DESERT SOIL /27/CAMO KHAKI;140000624120468;SBO_00_DISRESALV;16/05/2024 0:00;14/06/2024 0:00;;1017374;UNISEX;ARIZONA KIDS BF DESERT SOIL;CAMO KHAKI;CLASSIC;1;822698000000.0;BIRKEN
1017374/ARIZONA KIDS BF DESERT SOIL /30/CAMO KHAKI;140000624120768;SBO_00_DISRESALV;16/05/2024 0:00;05/05/2025 0:00;;1017374;UNISEX;ARIZONA KIDS BF DESERT SOIL;CAMO KHAKI;CLASSIC;1;822698000000.0;BIRKEN
1020752/ARIZONA LENB/39/DESERT BUCK WHALE GRAY;200001324021668;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Seasonal;1020752;MENS;ARIZONA LENB;DESERT BUCK WHALE GRAY;CLASSIC;1;886455000000.0;BIRKEN
