U_Estilo;U_Descrip_Color;U_Descripcion;Empresa;U_Division;U_Coleccion;U_Genero
1027200;0;SUPER-BIRKI FUSION PU BLUE;SBO_00_DISRESALV;PROFESSIONAL;CORE ESSENTIAL;UNISEX
1027183;0;SUPER-BIRKI FUSION PU GREEN;SBO_00_DISRESALV;PROFESSIONAL;CORE ESSENTIAL;UNISEX
1027193;0;SUPER-BIRKI FUSION PU RED;SBO_00_DISRESALV;PROFESSIONAL;CORE ESSENTIAL;UNISEX
1027181;0;SUPER-BIRKI FUSION PU WHITE;SBO_00_DISRESALV;PROFESSIONAL;CORE ESSENTIAL;UNISEX
1026177;0;BEND LOW LENA COGNAC;SBO_00_DISRESALV;SHOES;SEASONAL;UNISEX
1026206;0;BEND LOW LENA COGNAC;SBO_00_DISRESALV;SHOES;SEASONAL;UNISEX
1028203;0;BEND LOW LEVE FADED PURPLE;SBO_00_DISRESALV;SHOES;SEASONAL;UNISEX
1028569;0;OSWEGO LEVE MIDNIGHT;SBO_00_DISRESALV;SHOES;SEASONAL;UNISEX
1028606;0;BEND LOW LEVE MIDNIGHT;SBO_00_DISRESALV;SHOES;SEASONAL;UNISEX
1028622;0;BEND LOW LEVE MIDNIGHT;SBO_00_DISRESALV;SHOES;SEASONAL;UNISEX
1028563;0;OSWEGO LEVE TAUPE;SBO_00_DISRESALV;SHOES;SEASONAL;UNISEX
1028573;0;OSWEGO LEVE TAUPE;SBO_00_DISRESALV;SHOES;SEASONAL;UNISEX
1028582;0;BEND LOW LEVE TAUPE;SBO_00_DISRESALV;SHOES;SEASONAL;UNISEX
1028610;0;BEND LOW LEVE TAUPE;SBO_00_DISRESALV;SHOES;SEASONAL;UNISEX
