KEY;U_Temporalidad;U_Segmento;U_Estilo;MVP;U_Descripcion;Grid;Size;UPC/EAN;Region;From Month;Delivery From;PLC;U_Genero;Line;U_Coleccion_NE;Onfield;Silhouette Group;U_Silueta;Family;Sport;U_Liga;U_Team;U_Descrip_Color;Production Season;Composition;Segmentation;Plant;Descr Español;Color Español;Mkt Initiative Range;Key Look ID;Price;Cost;Bill To;Customer Name;Commercial Name;Channel;Commercial Discount;Sales Manager (G1-G10);SALES EXECUTIVE;Execution Month;Total Units;  $$  ;PO;Delivery Date;Launch Month;Reference;Comments;Period;ICD;Vendor;PAÍS DE ORIGEN;LIST PRICE;SHIP TO;SD;COMPRA;;
605147837129713000;FW 24;HEADWEAR;60514783;0;5950 COLOR PACK CHIBUL STN;612-834;712;198059184236;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;COLOR PACK;;5950;5950;;BASKETBALL;NBA;CHICAGO BULLS;LIGHT BEIGE;6A1;"""CROWN, VISOR & BUTTON: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $41.99 ; $13.44 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;18;$241.92;4500429773;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713930;PBK NA FW24;;
605147837389713000;FW 24;HEADWEAR;60514783;0;5950 COLOR PACK CHIBUL STN;612-834;738;198059184274;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;COLOR PACK;;5950;5950;;BASKETBALL;NBA;CHICAGO BULLS;LIGHT BEIGE;6A1;"""CROWN, VISOR & BUTTON: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $41.99 ; $13.44 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;36;$483.84;4500429773;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713930;PBK NA FW24;;
605147837189713000;FW 24;HEADWEAR;60514783;0;5950 COLOR PACK CHIBUL STN;612-834;718;198059184250;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;COLOR PACK;;5950;5950;;BASKETBALL;NBA;CHICAGO BULLS;LIGHT BEIGE;6A1;"""CROWN, VISOR & BUTTON: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $41.99 ; $13.44 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;72;$967.68;4500429773;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713930;PBK NA FW24;;
605147837149713000;FW 24;HEADWEAR;60514783;0;5950 COLOR PACK CHIBUL STN;612-834;714;198059184243;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;COLOR PACK;;5950;5950;;BASKETBALL;NBA;CHICAGO BULLS;LIGHT BEIGE;6A1;"""CROWN, VISOR & BUTTON: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $41.99 ; $13.44 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;74;$994.56;4500429773;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713930;PBK NA FW24;;
605152067009713000;FW 24;HEADWEAR;60515206;0;5950 COLOR PACK BOSRED LBZ;612-834;700;197884916166;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;COLOR PACK;;5950;5950;;BASEBALL;MLB;BOSTON RED SOX;MED BEIGE;6A1;"""CROWN, VISOR & BUTTON: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $41.99 ; $13.44 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;36;$483.84;4500429773;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713930;PBK NA FW24;;
605152067129713000;FW 24;HEADWEAR;60515206;0;5950 COLOR PACK BOSRED LBZ;612-834;712;197884916173;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;COLOR PACK;;5950;5950;;BASEBALL;MLB;BOSTON RED SOX;MED BEIGE;6A1;"""CROWN, VISOR & BUTTON: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $41.99 ; $13.44 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;36;$483.84;4500429773;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713930;PBK NA FW24;;
605176877009713000;FW 24;HEADWEAR;60517687;0;5950 2T COLOR PACK CHIBUL GRAPRT;612-834;700;198059195539;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;2T COLOR PACK;;5950;5950;;BASKETBALL;NBA;CHICAGO BULLS;GREY;6A1;"""CROWN: 100% POLYESTER, BUTTON & VISOR: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $43.99 ; $14.08 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;AUGUST;36;$483.84;4500429753;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713846;PBK NA FW24;;
605176877129713000;FW 24;HEADWEAR;60517687;0;5950 2T COLOR PACK CHIBUL GRAPRT;612-834;712;198059195546;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;2T COLOR PACK;;5950;5950;;BASKETBALL;NBA;CHICAGO BULLS;GREY;6A1;"""CROWN: 100% POLYESTER, BUTTON & VISOR: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $43.99 ; $14.08 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;AUGUST;36;$483.84;4500429753;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713846;PBK NA FW24;;
605152067389713000;FW 24;HEADWEAR;60515206;0;5950 COLOR PACK BOSRED LBZ;612-834;738;197884916210;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;COLOR PACK;;5950;5950;;BASEBALL;MLB;BOSTON RED SOX;MED BEIGE;6A1;"""CROWN, VISOR & BUTTON: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $41.99 ; $13.44 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;72;$967.68;4500429773;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713930;PBK NA FW24;;
605152067149713000;FW 24;HEADWEAR;60515206;0;5950 COLOR PACK BOSRED LBZ;612-834;714;197884916180;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;COLOR PACK;;5950;5950;;BASEBALL;MLB;BOSTON RED SOX;MED BEIGE;6A1;"""CROWN, VISOR & BUTTON: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $41.99 ; $13.44 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;OCTOBER;96;$1,290.24;4500429773;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713930;PBK NA FW24;;
605176877389713000;FW 24;HEADWEAR;60517687;0;5950 2T COLOR PACK CHIBUL GRAPRT;612-834;738;198059195584;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;2T COLOR PACK;;5950;5950;;BASKETBALL;NBA;CHICAGO BULLS;GREY;6A1;"""CROWN: 100% POLYESTER, BUTTON & VISOR: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $43.99 ; $14.08 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;AUGUST;72;$967.68;4500429753;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713846;PBK NA FW24;;
605176877149713000;FW 24;HEADWEAR;60517687;0;5950 2T COLOR PACK CHIBUL GRAPRT;612-834;714;198059195553;NORTH AMERICA;JULY;8/07/2024;6M;UNISEX;SEASONAL COLLECTION;2T COLOR PACK;;5950;5950;;BASKETBALL;NBA;CHICAGO BULLS;GREY;6A1;"""CROWN: 100% POLYESTER, BUTTON & VISOR: 100% POLYESTER, UNDERVISOR: 100% COTTON""";LIFESTYLE;9008;;;;; $43.99 ; $14.08 ;1025577;ACCESORIOS Y SERVICIOS REGIONALES;GUATEMALA;NEO/NES/WHLS;68%;DANIEL SALDIVAR;DAVID OSTOS;AUGUST;96;$1,290.24;4500429753;5/08/2024;;BANGLADESH 81;;;22/04/2024;209920 WINTAX TRADING LIMITED;BANGLADESH;21;2107499;9713846;PBK NA FW24;;
